Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Planet of the Apps,https://www.crunchbase.com/organization/planet-of-the-apps,2012-01-01,year,"Planet of the Apps, an established indie mobile game studio, developing and self-publishing mobile games since 2013. Planet of the Apps’ are a group of avid-gamers who are passionate about creating new-to-the-world games that are unique in terms of gameplay and design. The team includes  industry experts and passionate monsters, committed to innovate the mobile puzzle games market. Thus far, Planet of the Apps has released more than 30 games and reached over 7M downloads worldwide. With couple of titles ranking in top charts worldwide, and 9 of the games have been featured on Apple App Store and Google Play Store, we are now focused on the Circle Sweep’s franchise. Mobile puzzle games have always been a ‘me-too’ category, with app stores filled with hundreds of look-alike games. There is practically no real innovation, especially in the gameplay. Planet of the Apps now releases Circle Sweep to disrupt the matching puzzle genre, proving originality and innovation are still kings. Circle Sweep is a brilliant and addictive new puzzle game for anyone who wants to use their brain and play a colorful logic game that puts your decision-making skills to the test. Circle Sweep fuse decision-making challenges with puzzle mechanics that results in an original new game mechanism. Start training your brain with an excitingly free puzzle game that involve colorful orbs and cute visual designs. Connect orbs of the same color with brain teasers and challenges that will have you anticipating each and every step in Circle Sweep!","Casual Games, Mobile","Jerusalem, Yerushalayim, Israel",Full Stack Boutique Games Studio,"1,227,317"
Brainose Technologies,https://www.crunchbase.com/organization/brainose-technologies,2017-01-01,month,"Brainose Technologies is a medical company that develops and markets nasal delivery of cannabis-derived therapeutics. The company has developed a nose-to-brain delivery system for cannabis-derived therapeutics for the treatment of central nervous system (CNS) indications. It currently developing a pharmaceutical-grade cannabinoid-based therapy with a focus on pain management for FDA and CE approval in the U.S. and Europe. Brainose Technologies state-of-the-art delivery method provides significant advantages over other delivery options, confirming huge commercial preference in this growing arena of the cannabis-derived market. The company unique approach makes use of a patented device platform that improves safety, efficacy and patient compliance and ensures accurate dosing. Brainose Technologies was founded in January 2017 and is based in Rosh Ha’Ayin, Israel.","Cannabis, Health Care, Health Diagnostics, Medical, Medical Device, Pharmaceutical","Rosh Ha'ayin, HaMerkaz, Israel",Brainose Technologies is a medical company that develops and markets nasal delivery of cannabis-derived therapeutics.,"1,228,771"
Neuromagen Pharma,https://www.crunchbase.com/organization/neuromagen-pharma,2021-01-01,year,"Neuromagen Pharma develops drugs for neurodegenerative diseases including ALS. Neuromagen Pharma was founded in 2021 and was headquartered in Beer Sheva, Israel.","Biopharma, Biotechnology, Neuroscience","Be'er Sheva, HaDarom, Israel",Neuromagen Pharma develops drugs for neurodegenerative diseases including ALS.,"1,242,950"
Phi-G,https://www.crunchbase.com/organization/phi-g,2018-01-01,year,"Phi-G develops precision management and targeting sleeping disorder that takes all the multi-disturbing actors stimulant. The company vast experience in sleep medicine, psychology, AI and machine learning combined with years of experience in the biotech sector drives us to create innovative solutions. Their technology leverages state of the art AI and ML algorithms combined with wearable sensors.  Phi-G was founded in 2018 and is headquartered in Tel Aviv, Israel.","Artificial Intelligence (AI), Health Care, Machine Learning","Tel Aviv, Tel Aviv, Israel",Phi-G develops precision management and targeting sleeping disorder that takes all the multi-disturbing actors stimulant.,"1,250,168"
Herzog Hospital,https://www.crunchbase.com/organization/herzog-hospital,1894-01-01,year,,"Health Care, Hospital, Mental Health, Wellness","Jerusalem, Yerushalayim, Israel","Herzog Hospital specializes in geriatric, respiratory, mental health, psychotrauma care, and research services.","1,259,470"
Snowflix,https://www.crunchbase.com/organization/snowflix,2021-01-01,year,,"Consulting, E-Learning, Professional Services","Tel Aviv, Tel Aviv, Israel",Snowflix offers communication through audiovisual content platforms for people with autism and cognitive disabilities.,"1,343,732"
Mind Innovations,https://www.crunchbase.com/organization/mind-innovations,2017-01-01,year,"Mind Innovations develops and integrates digital health solutions in the field of clinical psychology. The company was founded in 2017 and is headquartered in Tel Aviv, Israel.","Health Care, mHealth, Wellness","Tel Aviv, Tel Aviv, Israel",Mind Innovations develops and integrates digital health solutions in the field of clinical psychology.,"1,368,121"
Israel Brain Technologies,https://www.crunchbase.com/organization/israel-brain-technologies,2011-01-01,year,"Israel Brain Technologies (IBT) is a non-profit organization whose mission is to accelerate the commercialization of Israel’s brain-related innovation and establish Israel as a leading international brain technology hub, by: Supporting brain technology development Creating & fostering a community of entrepreneurs, innovators and investors around neurotechnology Attracting key stakeholders to partner and support braintech in Israel Serving as an authority and knowledge center for the braintech ecosystem","Association, Communities, Information Technology, Management Information Systems, Non Profit","Ramat Hasharon, Tel Aviv, Israel",IBT is a brain technology and research hub in Israel.,"1,386,585"
Gigantt,https://www.crunchbase.com/organization/gigantt,2010-09-01,day,"Gigantt is a collaborative project planning web application that uses a ZUI (Zoomable User Interface) approach to managing complex work-plans. Editing a work-plan feels similar to editing a mind-map, with keyboard shortcuts that let you brain-dump your ideas and plans without slowing you down.","Career Planning, Project Management, Software","Tel Aviv-yafo, Tel Aviv, Israel",Gigantt is a collaborative project planning web application that uses a ZUI approach to manage complex work plans.,"1,410,750"
Linguistic Agents,https://www.crunchbase.com/organization/linguistic-agents,1999-01-01,year,"Linguistic Agents is a privately held company based in Jerusalem, Israel. It is specializing in the field of artificial intelligence and natural language. ","Artificial Intelligence (AI), Machine Learning, Neuroscience, Semantic Search, Software","Jerusalem, Yerushalayim, Israel","Linguistic Agents is a privately held AI and natural language company based in Jerusalem, Israel. Linguistic Agents","1,458,226"
Surpass Medical,https://www.crunchbase.com/organization/surpass-medical,1938-01-01,year,Surpass Medical is developing and commercializing next-generation flow diversion technology to treat brain aneurysms using a unique mesh design and delivery system.,"Biotechnology, Health Care, Medical","Tel Aviv, Tel Aviv, Israel",Surpass Medical evelops medical technology products.,"1,525,324"
Thiel International,https://www.crunchbase.com/organization/thiel-international,1992-01-01,year,,"Consulting, Employment, Human Resources, Psychology","Tel Aviv, Tel Aviv, Israel",Thiel International is an HR consultancy that develops advanced and expert systems for psychometric and psychological diagnosis.,"1,541,160"
Ctx Platforms,https://www.crunchbase.com/organization/ctx-platforms,2018-01-01,year,"Ctx Platforms is a biotech company developing a targeted protein delivery system for diagnosing and treating cancer. CTX-Platforms is launching a cancer-targeting peptide platform based on a patent-pending synthetic molecule derived from scorpion venom, which can easily penetrate the blood-brain barrier as well as solid tumors outside the central nervous system. The company is developing specific proteins to serve as bio carriers. These proteins are derived from various scorpion venoms, expressing unique characteristics, namely, selective affinity to cancer tissues, high stability, and effective penetrability to the blood-brain barrier (BBB). It holds intellectual property for a synthetic peptide based on a natural molecule from scorpion venom. The peptide has selective affinity to cancer cells, it penetrates the BBB and enables its use in therapy and diagnostics.","Biotechnology, Health Care, Medical, Medical Device","Beersheba, HaDarom, Israel",Ctx Platforms is a biotech company developing a targeted protein delivery system for diagnosing and treating cancer.,"1,552,219"
